,GLMSUM_JScale
n_gpu,2.0
batch_size,8.0
n_samples,171.0
n_duplicates,5.0
loss,0.3021
accuracy,0.01748
aupr,0.28584
brier_score,0.08244
csi05_index0,0.21357
pod05_index0,0.75374
far05_index0,0.77044
obsct05_index0,38527.20312
fcstct05_index0,1453688.625
csi10_index0,0.22549
pod10_index0,0.66361
far10_index0,0.74557
obsct10_index0,14300.5
fcstct10_index0,104758.02344
csi15_index0,0.22886
pod15_index0,0.60036
far15_index0,0.73024
obsct15_index0,10032.93164
fcstct15_index0,59260.75
csi20_index0,0.22922
pod20_index0,0.55069
far20_index0,0.71828
obsct20_index0,7866.18164
fcstct20_index0,41878.70312
csi25_index0,0.22749
pod25_index0,0.50923
far25_index0,0.7088
obsct25_index0,6570.27295
fcstct25_index0,31910.77344
csi30_index0,0.22459
pod30_index0,0.47238
far30_index0,0.70025
obsct30_index0,5835.43164
fcstct30_index0,26823.02344
csi35_index0,0.2208
pod35_index0,0.43876
far35_index0,0.69212
obsct35_index0,5303.95459
fcstct35_index0,23356.25
csi40_index0,0.21623
pod40_index0,0.40817
far40_index0,0.68451
obsct40_index0,4803.72705
fcstct40_index0,20274.06836
csi45_index0,0.21067
pod45_index0,0.37923
far45_index0,0.67746
obsct45_index0,4522.65918
fcstct45_index0,18238.79492
csi50_index0,0.20448
pod50_index0,0.35197
far50_index0,0.67037
obsct50_index0,4258.36377
fcstct50_index0,16700.95508
csi55_index0,0.19738
pod55_index0,0.32535
far55_index0,0.66315
obsct55_index0,4157.54541
fcstct55_index0,15783.59082
csi60_index0,0.18948
pod60_index0,0.29952
far60_index0,0.65575
obsct60_index0,4039.54541
fcstct60_index0,14830.72754
csi65_index0,0.18032
pod65_index0,0.27348
far65_index0,0.64831
obsct65_index0,4064.54541
fcstct65_index0,14309.7959
csi70_index0,0.17001
pod70_index0,0.24756
far70_index0,0.64064
obsct70_index0,4033.36353
fcstct70_index0,13708.90918
csi75_index0,0.15797
pod75_index0,0.22068
far75_index0,0.63254
obsct75_index0,4154.95459
fcstct75_index0,13608.0
csi80_index0,0.14329
pod80_index0,0.19144
far80_index0,0.62337
obsct80_index0,4479.40918
fcstct80_index0,14098.72754
csi85_index0,0.12557
pod85_index0,0.16002
far85_index0,0.6128
obsct85_index0,4765.97705
fcstct85_index0,14415.09082
csi90_index0,0.10361
pod90_index0,0.12546
far90_index0,0.60047
obsct90_index0,5195.77295
fcstct90_index0,14996.7959
csi95_index0,0.0744
pod95_index0,0.08489
far95_index0,0.58281
obsct95_index0,6021.06836
fcstct95_index0,16686.38672
